V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q2,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,"Overall, how satisfied with your undergraduate education?","Thinking about your entire undergraduate experience, how satisfied are you with each of the follo...-Level of intellectual excitement on campus","Thinking about your entire undergraduate experience, how satisfied are you with each of the follo...-Overall quality of instruction","Thinking about your entire undergraduate experience, how satisfied are you with each of the follo...-Opportunities to participate in extracurricular activities","Thinking about your entire undergraduate experience, how satisfied are you with each of the follo...-Social life on campus","Thinking about your entire undergraduate experience, how satisfied are you with each of the follo...-Opportunities for personal growth and development","Thinking about your entire undergraduate experience, how satisfied are you with each of the follo...-Academic advising before declaring a major","Thinking about your entire undergraduate experience, how satisfied are you with each of the follo...-Out-of-class availability of faculty","Thinking about your entire undergraduate experience, how satisfied are you with each of the follo...-Opportunities to participate in research with a faculty member","Thinking about your entire undergraduate experience, how satisfied are you with each of the follo...-Availability of academic support and assistance","Thinking about your entire undergraduate experience, how satisfied are you with each of the follo...-Availability of courses you wanted to take outside your major","Thinking about your entire undergraduate experience, how satisfied are you with each of the follo...-Quality of instruction in humanities and arts courses","Thinking about your entire undergraduate experience, how satisfied are you with each of the follo...-Quality of instruction in natural science and math courses","Thinking about your entire undergraduate experience, how satisfied are you with each of the follo...-Quality of instruction in social science courses","Thinking about your entire undergraduate experience, how satisfied are you with each of the follo...-Quality of instruction in pre-med courses",What do you expect to be doing this Fall? Mark all that apply.-Working for pay full-time (including self-employment),What do you expect to be doing this Fall? Mark all that apply.-Working for pay part-time,What do you expect to be doing this Fall? Mark all that apply.-Starting my own company or organization,What do you expect to be doing this Fall? Mark all that apply.-Attending graduate or professional school full-time,What do you expect to be doing this Fall? Mark all that apply.-Attending graduate or professional school part-time,What do you expect to be doing this Fall? Mark all that apply.-Enrolled in some other education program (such as completing your current degree or a post-baccalaureate program),What do you expect to be doing this Fall? Mark all that apply.-Other,LocationLatitude,LocationLongitude,LocationAccuracy,
R_OKnOHn6BS7hkrOV,Default Response Set,Anonymous,,,123.456.789.012,0,2015-11-04 08:29:06,2015-11-04 08:32:54,1,4,3,4,3,2,4,3,4,5,4,3,4,4,4,5,1,,,,,,,42.644195556641,-23.234234234234,-1,
R_3k4zwlpmIzhQvzs,Default Response Set,Anonymous,,,123.456.789.012,0,2015-11-04 08:32:59,2015-11-04 08:33:25,1,3,3,3,2,3,3,3,3,3,4,4,2,3,3,5,,,1,,,,,42.644195556641,-23.234234234234,-1,
R_1FkS7OEOhrayQqq,Default Response Set,Anonymous,,,123.456.789.012,0,2015-11-04 08:33:30,2015-11-04 08:33:56,1,5,3,3,3,3,4,2,2,3,3,3,4,2,3,5,,,,1,,,,42.644195556641,-23.234234234234,-1,
R_2yrUjUf45sj0SFO,Default Response Set,Anonymous,,,123.456.789.012,0,2015-11-04 08:34:07,2015-11-04 08:34:36,1,4,3,3,4,1,3,3,4,2,3,,2,3,4,2,1,,,,1,,,42.644195556641,-23.234234234234,-1,
R_31ckBCq5s18ojHX,Default Response Set,Anonymous,,,123.456.789.012,0,2015-11-04 08:34:42,2015-11-04 08:35:04,1,5,3,4,3,3,3,4,4,4,4,1,1,1,1,5,,,,,,,1,42.644195556641,-23.234234234234,-1,
R_2OUcQ0RQeXuBsYw,Default Response Set,Anonymous,,,123.456.789.012,0,2015-11-04 08:35:09,2015-11-04 08:35:36,1,4,2,3,3,4,3,4,4,2,3,4,4,4,4,4,1,,,,,,,42.644195556641,-23.234234234234,-1,
R_3paHaOJdtW6YMl2,Default Response Set,Anonymous,,,123.456.789.012,0,2015-11-04 08:35:42,2015-11-04 08:36:09,1,5,1,3,3,3,3,4,4,4,4,4,4,2,3,3,1,,,,,,,42.644195556641,-23.234234234234,-1,
R_1OlXDXOhb64V1pV,Default Response Set,Anonymous,,,123.456.789.012,0,2015-11-04 08:36:13,2015-11-04 08:36:45,1,5,4,3,4,3,4,3,4,5,3,4,5,3,4,5,,1,,1,,,,42.644195556641,-23.234234234234,-1,
R_2aKwyxmupcEjd3N,Default Response Set,Anonymous,,,123.456.789.012,0,2015-11-04 08:36:49,2015-11-04 08:37:12,1,1,3,4,3,3,3,4,4,4,4,4,4,4,4,4,,,1,,1,,,42.644195556641,-23.234234234234,-1,
